token,id_user,id_benefit,application_date,delivery_date,limit_date,status
ABC123,U001,B001,2026-08-20,2026-08-25,2026-08-27,DELIVERED
DEF456,U002,B001,2026-08-21,,2026-08-28,PENDING
GHI789,U003,B002,2026-08-22,2026-08-23,2026-08-29,DELIVERED
JKL012,U004,B003,2026-08-23,,2026-08-30,PENDING
MNO345,U008,B005,2026-08-24,2026-08-24,2026-08-31,DELIVERED
PQR678,U009,B005,2026-08-10,2026-08-15,2026-08-17,EXPIRED
STU901,U010,B004,2026-08-25,,2026-09-01,REJECTED
VWX234,U001,B002,2026-08-26,2026-08-26,2026-09-02,DELIVERED
YZA567,U002,B003,2026-08-27,,2026-09-03,PENDING
BCD890,U003,B005,2026-08-28,,2026-09-04,PENDING
